date,airplane_fare_cpi
2015-01,283.152
2015-02,288.626
2015-03,287.362
2015-04,294.603
2015-05,319.401
2015-06,324.953
2015-07,297.324
2015-08,277.768
2015-09,274.897
2015-10,285.837
2015-11,294.143
2015-12,278.658
2016-01,278.334
2016-02,283.52
2016-03,283.584
2016-04,295.909
2016-05,309.54
2016-06,309.679
2016-07,283.501
2016-08,268.04
2016-09,267.457
2016-10,270.922
2016-11,274.761
2016-12,265.436
2017-01,269.241
2017-02,280.517
2017-03,283.583
2017-04,294.034
2017-05,300.609
2017-06,296.384
2017-07,276.308
2017-08,259.359
2017-09,259.143
2017-10,267.297
2017-11,267.97
2017-12,254.947
2018-01,255.496
2018-02,265.272
2018-03,267.482
2018-04,273.817
2018-05,280.804
2018-06,278.937
2018-07,264.994
2018-08,255.877
2018-09,258.196
2018-10,265.93
2018-11,263.809
2018-12,248.29
2019-01,248.433
2019-02,259.049
2019-03,259.698
2019-04,268.767
2019-05,283.275
2019-06,283.001
2019-07,268.314
2019-08,259.849
2019-09,263.149
2019-10,269.871
2019-11,268.994
2019-12,252.411
2021-05,250.209
2021-06,256.684
2021-07,243.613
2021-08,212.882
2021-09,198.975
2021-10,205.994
2021-11,215.159
2021-12,208.954
2022-02,222.227
2022-03,243.689
2022-04,297.143
2022-05,344.853
2022-06,344.101
2022-07,311.205
2022-08,283.911
2022-09,284.313
2022-10,294.34
2022-11,292.656
2022-12,268.519
2023-01,264.629
2023-02,281.216
2023-03,286.814
2023-04,294.55
2023-05,298.489
2023-06,279.224
2023-07,253.345
2023-08,246.185
2023-09,246.151
2023-10,255.48
2023-11,257.222
2023-12,243.348
2024-01,247.606
2024-02,263.952
2024-03,266.481
2024-04,277.45
2024-05,280.958
2024-06,265.061
2024-07,246.222
2024-08,243.011
2024-09,250.03
2024-10,265.939
2024-11,269.336
2024-12,262.556
2025-01,265.273
2025-02,262.136
2025-03,252.62
2025-04,255.592
2025-05,260.319
2025-06,255.852
2025-07,247.859
2025-08,250.982
2025-09,258.027
2025-10,265.939
2025-11,269.336
2025-12,262.556
2026-01,265.273
2026-02,262.136
2026-03,252.62
2026-04,255.592
2026-05,260.319
2026-06,255.852
2026-07,247.859
2026-08,250.982
2026-09,258.027
2026-10,265.939
2026-11,269.336
2026-12,262.556
2027-01,265.273
2027-02,262.136
2027-03,252.62
2027-04,255.592
2027-05,260.319
2027-06,255.852
2027-07,247.859
2027-08,250.982
2027-09,258.027
